Protocol,Algorithm,Length,Comparisons,Time_ns
Random,MSBRadixQuickSort,600,1376,2381100
Random,MSBRadixQuickSort,700,1733,1557300
Random,MSBRadixQuickSort,800,2172,1807100
Random,MSBRadixQuickSort,900,2540,1966700
Random,MSBRadixQuickSort,1000,3059,2308600
Random,MSBRadixQuickSort,1100,3577,2565300
Random,MSBRadixQuickSort,1200,3927,2637200
Random,MSBRadixQuickSort,1300,4543,4489600
Random,MSBRadixQuickSort,1400,5110,3243000
Random,MSBRadixQuickSort,1500,5670,3505500
Random,MSBRadixQuickSort,1600,5984,3790400
Random,MSBRadixQuickSort,1700,6596,4261300
Random,MSBRadixQuickSort,1800,7307,4456800
Random,MSBRadixQuickSort,1900,7776,4795200
Random,MSBRadixQuickSort,2000,8285,4934500
Random,MSBRadixQuickSort,2100,8806,5388600
Random,MSBRadixQuickSort,2200,9618,6142800
Random,MSBRadixQuickSort,2300,10108,6021600
Random,MSBRadixQuickSort,2400,10506,6510600
Random,MSBRadixQuickSort,2500,11463,10817500
Random,MSBRadixQuickSort,2600,12057,7194500
Random,MSBRadixQuickSort,2700,12910,7749300
Random,MSBRadixQuickSort,2800,13535,7869300
Random,MSBRadixQuickSort,2900,14333,8571200
Random,MSBRadixQuickSort,3000,14788,8959500
Random,MSBRadixQuickSort,100,54,291000
Random,MSBRadixQuickSort,200,232,624700
